Player,Chest Type,Quantity
Glerafan,Rare crypt level 15,1
Kb Fenix,Rare crypt level 15,1
Garvey,Rare crypt level 15,3
Eagle,Rare crypt level 15,1
Priest Field,Rare crypt level 15,5
Lalaton,Rare crypt level 15,1
Jackie,Rare crypt level 15,1
Elneing,Rare crypt level 15,8
Balian,Rare crypt level 15,1
Wicked Witch,Rare crypt level 15,1
Omelette,Rare crypt level 20,5
Niklaus 00,Rare crypt level 20,7
Chieff,Rare crypt level 20,12
Glock,Rare crypt level 20,9
Lebrimir,Rare crypt level 20,1
Zenia,Rare crypt level 20,1
Dark Dragons,Rare crypt level 20,1
Karczma,Rare crypt level 20,2
Blaze,Rare crypt level 20,8
QQQ,Rare crypt level 20,3
Padam,Rare crypt level 20,5
Viscius,Rare crypt level 20,2
Gleison Sp,Rare crypt level 20,2
Voneyzz,Rare crypt level 20,6
Zulkis II,Rare crypt level 20,11
Paulie G,Rare crypt level 20,2
Godfather,Rare crypt level 20,2
Hugardor,Rare crypt level 20,2
Glerafan,Rare crypt level 20,4
Kb Fenix,Rare crypt level 20,7
Aleksander,Rare crypt level 20,2
Rouge,Rare crypt level 20,1
Vudorr,Rare crypt level 20,10
Analis,Rare crypt level 20,1
Cris Nguyen,Rare crypt level 20,8
Eagle,Rare crypt level 20,5
Shinogirl,Rare crypt level 20,5
Gavilen,Rare crypt level 20,2
Tatiana,Rare crypt level 20,2
Priest Field,Rare crypt level 20,2
Goldennet,Rare crypt level 20,10
Lalaton,Rare crypt level 20,2
Ostar,Rare crypt level 20,3
Antsal,Rare crypt level 20,5
Bobel,Rare crypt level 20,2
Ajay,Rare crypt level 20,1
Jackie,Rare crypt level 20,2
Locky Balboa,Rare crypt level 20,8
Omelette,Rare crypt level 25,3
Niklaus 00,Rare crypt level 25,4
Kairos,Rare crypt level 25,5
Lazito,Rare crypt level 25,6
Sardrobert,Rare crypt level 25,23
Zulkis,Rare crypt level 25,6
Vytas,Rare crypt level 25,7
Glock,Rare crypt level 25,2
Lebrimir,Rare crypt level 25,15
Mightshaper,Rare crypt level 25,7
Glufke,Rare crypt level 25,7
Wacht1,Rare crypt level 25,6
Zenia,Rare crypt level 25,2
Dark Dragons,Rare crypt level 25,1
Karczma,Rare crypt level 25,2
Gagami,Rare crypt level 25,3
Antifa HQ,Rare crypt level 25,1
Railan 2,Rare crypt level 25,10
Maia,Rare crypt level 25,2
QQQ,Rare crypt level 25,9
Saithirus,Rare crypt level 25,5
Padam,Rare crypt level 25,10
Rambo,Rare crypt level 25,1
Viscius,Rare crypt level 25,3
Gleison Sp,Rare crypt level 25,1
Voneyzz,Rare crypt level 25,2
Rayan,Rare crypt level 25,7
Hugardor,Rare crypt level 25,1
Elladef,Rare crypt level 25,12
Glerafan,Rare crypt level 25,3
Iron Maiden,Rare crypt level 25,3
Huzar,Rare crypt level 25,3
Frostfont,Rare crypt level 25,6
Arvid,Rare crypt level 25,1
Sharisar,Rare crypt level 25,2
Kb Fenix,Rare crypt level 25,4
Aleksander,Rare crypt level 25,3
Marcio,Rare crypt level 25,1
Shinomen,Rare crypt level 25,4
Garvey,Rare crypt level 25,1
Eagle,Rare crypt level 25,5
Shinogirl,Rare crypt level 25,2
Priest Field,Rare crypt level 25,1
Lalaton,Rare crypt level 25,2
Aydaen Ftk,Rare crypt level 25,5
Fisterbottom,Rare crypt level 25,7
Dani Girl From Rio,Rare crypt level 25,3
Bobel,Rare crypt level 25,1
Ajay,Rare crypt level 25,4
Dunasis,Rare crypt level 25,2
Sandman,Rare crypt level 25,2
Maverick,Rare crypt level 25,2
Niklaus 00,Rare crypt level 30,7
Sardrobert,Rare crypt level 30,4
Zulkis,Rare crypt level 30,4
Darloting,Rare crypt level 30,4
Lady Iron,Rare crypt level 30,1
Glufke,Rare crypt level 30,3
Wacht1,Rare crypt level 30,1
Zenia,Rare crypt level 30,1
Dark Dragons,Rare crypt level 30,1
Karczma,Rare crypt level 30,2
Gagami,Rare crypt level 30,2
Antifa HQ,Rare crypt level 30,4
Elladef,Rare crypt level 30,3
Arvid,Rare crypt level 30,3
Landis,Rare crypt level 30,2
Aydaen Ftk,Rare crypt level 30,4
Sparvenen,Rare crypt level 30,2
Emal,Rare crypt level 30,5
Maverick,Rare crypt level 30,1
Mr Stanly Bowles,Crypt level 10,66
Niklaus 00,Crypt level 10,1
Lebrimir,Crypt level 10,4
Ares,Crypt level 10,1
Dark Dragons,Crypt level 10,4
Maia,Crypt level 10,2
Hugardor,Crypt level 10,1
Garvey,Crypt level 10,36
Gavilen,Crypt level 10,1
Serloting,Crypt level 10,3
Sparvenen,Crypt level 10,12
Bobel,Crypt level 10,2
Von Bhatlar,Crypt level 10,1
Falcon,Crypt level 10,2
Burigas,Crypt level 10,1
Mr Stanly Bowles,Crypt level 15,35
Omelette,Crypt level 15,7
Niklaus 00,Crypt level 15,2
Kairos,Crypt level 15,9
Lazito,Crypt level 15,4
Chieff,Crypt level 15,73
Sardrobert,Crypt level 15,1
Zulkis,Crypt level 15,2
Vytas,Crypt level 15,6
Glock,Crypt level 15,16
Lebrimir,Crypt level 15,19
Darloting,Crypt level 15,6
Lady Iron,Crypt level 15,3
Glufke,Crypt level 15,2
Ares,Crypt level 15,2
Zenia,Crypt level 15,1
Karczma,Crypt level 15,3
Blaze,Crypt level 15,1
Airy,Crypt level 15,33
Gagami,Crypt level 15,1
Railan 2,Crypt level 15,2
Maia,Crypt level 15,5
QQQ,Crypt level 15,16
Thollador,Crypt level 15,17
Rambo,Crypt level 15,34
Graf Von Waldeck,Crypt level 15,21
Viscius,Crypt level 15,22
Gleison Sp,Crypt level 15,26
Voneyzz,Crypt level 15,3
Paulie G,Crypt level 15,6
Godfather,Crypt level 15,19
Bostondave,Crypt level 15,26
Hugardor,Crypt level 15,42
Timko,Crypt level 15,52
Glerafan,Crypt level 15,7
Huzar,Crypt level 15,3
Frostfont,Crypt level 15,10
Kebrinir,Crypt level 15,1
Kb Fenix,Crypt level 15,2
Marcio,Crypt level 15,58
Rouge,Crypt level 15,2
Vudorr,Crypt level 15,16
Shinomen,Crypt level 15,1
Garvey,Crypt level 15,23
Analis,Crypt level 15,14
Cris Nguyen,Crypt level 15,2
Eagle,Crypt level 15,10
Shinogirl,Crypt level 15,4
Tatiana,Crypt level 15,3
Priest Field,Crypt level 15,1
Lalaton,Crypt level 15,22
Fisterbottom,Crypt level 15,8
Serloting,Crypt level 15,19
Aurithris,Crypt level 15,12
Ostar,Crypt level 15,38
Antsal,Crypt level 15,10
Sparvenen,Crypt level 15,11
Bobel,Crypt level 15,6
Ikadlo,Crypt level 15,14
Ajay,Crypt level 15,1
Kelerin,Crypt level 15,41
Jackie,Crypt level 15,3
Locky Balboa,Crypt level 15,22
Sandman,Crypt level 15,42
Elneing,Crypt level 15,34
Nimduen,Crypt level 15,54
Vojas,Crypt level 15,4
Balian,Crypt level 15,34
Naruto,Crypt level 15,48
Kratos,Crypt level 15,16
Srlanson,Crypt level 15,5
Von Bhatlar,Crypt level 15,6
Wicked Witch,Crypt level 15,1
Falcon,Crypt level 15,2
Burigas,Crypt level 15,2
Mr Stanly Bowles,Crypt level 20,13
Omelette,Crypt level 20,36
Niklaus 00,Crypt level 20,21
Kairos,Crypt level 20,2
Lazito,Crypt level 20,62
Chieff,Crypt level 20,46
Sardrobert,Crypt level 20,2
Vytas,Crypt level 20,34
Glock,Crypt level 20,10
Lebrimir,Crypt level 20,25
Darloting,Crypt level 20,49
Lady Iron,Crypt level 20,52
Mightshaper,Crypt level 20,14
Wacht1,Crypt level 20,34
Karczma,Crypt level 20,22
Blaze,Crypt level 20,33
Airy,Crypt level 20,21
Gagami,Crypt level 20,19
Antifa HQ,Crypt level 20,2
QQQ,Crypt level 20,8
Saithirus,Crypt level 20,2
Thollador,Crypt level 20,20
Padam,Crypt level 20,4
Rambo,Crypt level 20,2
Graf Von Waldeck,Crypt level 20,12
Viscius,Crypt level 20,13
Gleison Sp,Crypt level 20,1
Voneyzz,Crypt level 20,25
Zulkis II,Crypt level 20,33
Paulie G,Crypt level 20,45
Godfather,Crypt level 20,4
Bostondave,Crypt level 20,38
Hugardor,Crypt level 20,18
Timko,Crypt level 20,3
Glerafan,Crypt level 20,12
Huzar,Crypt level 20,34
Frostfont,Crypt level 20,20
Sharisar,Crypt level 20,58
Kb Fenix,Crypt level 20,20
Aleksander,Crypt level 20,3
Marcio,Crypt level 20,10
Rouge,Crypt level 20,16
Vudorr,Crypt level 20,14
Shinomen,Crypt level 20,9
Garvey,Crypt level 20,11
Analis,Crypt level 20,21
Cris Nguyen,Crypt level 20,31
Eagle,Crypt level 20,6
Shinogirl,Crypt level 20,22
Gavilen,Crypt level 20,7
Tatiana,Crypt level 20,38
Priest Field,Crypt level 20,10
Goldennet,Crypt level 20,8
Lalaton,Crypt level 20,10
Aydaen Ftk,Crypt level 20,1
Fisterbottom,Crypt level 20,8
Serloting,Crypt level 20,9
Aurithris,Crypt level 20,12
Ostar,Crypt level 20,14
Antsal,Crypt level 20,8
Sparvenen,Crypt level 20,6
Bobel,Crypt level 20,23
Ikadlo,Crypt level 20,41
Ajay,Crypt level 20,15
Kelerin,Crypt level 20,14
Jackie,Crypt level 20,6
Dunasis,Crypt level 20,8
Locky Balboa,Crypt level 20,4
Sandman,Crypt level 20,5
Balian,Crypt level 20,1
Arean,Crypt level 20,17
Kratos,Crypt level 20,4
Srlanson,Crypt level 20,3
Von Bhatlar,Crypt level 20,3
Falcon,Crypt level 20,2
Mr Stanly Bowles,Crypt level 25,1
Omelette,Crypt level 25,11
Niklaus 00,Crypt level 25,12
Kairos,Crypt level 25,14
Chieff,Crypt level 25,6
Sardrobert,Crypt level 25,26
Zulkis,Crypt level 25,21
Vytas,Crypt level 25,1
Glock,Crypt level 25,4
Lebrimir,Crypt level 25,15
Mightshaper,Crypt level 25,6
Glufke,Crypt level 25,8
Ares,Crypt level 25,1
Wacht1,Crypt level 25,15
Zenia,Crypt level 25,24
Karczma,Crypt level 25,15
Gagami,Crypt level 25,10
Antifa HQ,Crypt level 25,17
Railan 2,Crypt level 25,13
Maia,Crypt level 25,2
QQQ,Crypt level 25,7
Saithirus,Crypt level 25,13
Thollador,Crypt level 25,25
Padam,Crypt level 25,11
Rambo,Crypt level 25,1
Graf Von Waldeck,Crypt level 25,11
Viscius,Crypt level 25,4
Gleison Sp,Crypt level 25,4
Voneyzz,Crypt level 25,13
Rayan,Crypt level 25,9
Paulie G,Crypt level 25,7
Godfather,Crypt level 25,15
Bostondave,Crypt level 25,18
Elladef,Crypt level 25,4
Glerafan,Crypt level 25,8
Iron Maiden,Crypt level 25,21
Huzar,Crypt level 25,4
Frostfont,Crypt level 25,11
Arvid,Crypt level 25,13
Sharisar,Crypt level 25,3
Kebrinir,Crypt level 25,14
Kb Fenix,Crypt level 25,2
Aleksander,Crypt level 25,16
Rouge,Crypt level 25,21
Shinomen,Crypt level 25,11
Garvey,Crypt level 25,3
Analis,Crypt level 25,6
Eagle,Crypt level 25,3
Gavilen,Crypt level 25,13
Tatiana,Crypt level 25,4
Priest Field,Crypt level 25,6
Goldennet,Crypt level 25,13
Lalaton,Crypt level 25,1
Landis,Crypt level 25,12
Aydaen Ftk,Crypt level 25,3
Fisterbottom,Crypt level 25,4
Serloting,Crypt level 25,11
Aurithris,Crypt level 25,18
Ostar,Crypt level 25,8
Dani Girl From Rio,Crypt level 25,17
Sparvenen,Crypt level 25,5
Bobel,Crypt level 25,3
Ajay,Crypt level 25,7
Emal,Crypt level 25,5
Kelerin,Crypt level 25,6
Dunasis,Crypt level 25,7
Sandman,Crypt level 25,2
Vojas,Crypt level 25,15
Balian,Crypt level 25,2
Naruto,Crypt level 25,1
Kratos,Crypt level 25,3
Srlanson,Crypt level 25,4
Dimas,Crypt level 25,4
Wicked Witch,Crypt level 25,1
Mr Stanly Bowles,Crypt level 5,8
Ares,Crypt level 5,2
Paulie G,Crypt level 5,3
Hugardor,Crypt level 5,1
Serloting,Crypt level 5,1
Sparvenen,Crypt level 5,8
